Metro,Total,Year,Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
"St. Louis,",1275535,2013,62.84688,31.88395,5.26916
"St. Louis,",1304258,2016,62.0503,31.65815,6.29155
Tampa,1266517,2016,59.275,32.28381,8.44118
Tampa,1241779,2022,57.31487,33.35569,9.32944
Tampa,1131800,2010,62.91438,30.5888,6.49682
Tampa,1127587,2011,61.62097,32.16798,6.21105
Tampa,1151281,2012,62.25769,31.18344,6.55887
Tampa,1200123,2013,61.4267,31.43128,7.14202
Tampa,1216314,2014,59.70078,32.57942,7.7198
Tampa,1295172,2023,55.10913,34.61023,10.28064
Tampa,1299297,2017,57.4042,33.74109,8.85471
Tampa,1246197,2015,60.24056,31.3225,8.43695
Tampa,1334616,2018,57.06211,34.17672,8.76117
Tampa,1360550,2019,56.82445,33.74062,9.43493
Tampa,1191597,2021,59.16035,33.53961,7.30004
Washington,3065253,2016,42.99665,39.15742,17.84593
Washington,3059053,2015,43.39421,39.32492,17.28087
Washington,2545435,2022,47.1506,38.7663,14.08309
Washington,2993036,2014,43.16684,39.55776,17.2754
Washington,3144623,2018,42.46067,40.06216,17.47717
Washington,2962993,2013,43.97243,39.48153,16.54604
Washington,2915564,2012,43.72612,39.63586,16.63802
Washington,3160911,2019,41.54609,40.17073,18.28318
Washington,2831822,2011,43.24241,39.51816,17.23943
Washington,2788202,2010,44.08239,39.10563,16.81198
Washington,2217836,2021,49.52115,38.56746,11.91139
Washington,3123186,2017,42.39773,40.11385,17.48842
Washington,2652851,2023,46.55407,39.41548,14.03045
