Metro Area,Total,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
"El Centro, CA Metro Area",51835,1907,6225,11780,8874,8824,3110,5370,547,692,2283,743,1480,2010
"Elizabethtown, KY Metro Area",45738,2156,4577,7893,9436,6385,2836,5562,477,1148,3113,1569,586,2010
"Elkhart-Goshen, IN Metro Area",83431,3518,12699,13342,16403,14690,4366,8221,1790,2501,3311,1320,1270,2010
"Elmira, NY Metro Area",38380,1256,7200,8958,5929,5681,1502,2698,461,710,2328,1182,475,2010
"El Paso, TX Metro Area",302200,5793,24990,46117,46148,66899,20486,55156,5520,7648,13115,7309,3019,2010
"Enterprise-Ozark, AL Micro Area",40590,1082,5222,7484,7311,7171,2477,5381,988,565,1850,571,488,2010
"Erie, PA Metro Area",120398,5433,15540,23042,25656,20305,7405,12826,1971,2932,3001,1253,1034,2010
"Eugene-Springfield, OR Metro Area",142957,6013,18782,30080,28097,24651,7733,12918,1561,2475,4275,3510,2862,2010
"Eureka-Arcata-Fortuna, CA Micro Area",56483,4293,11141,12274,8566,9279,3029,3265,514,1015,929,2016,162,2010
"Evansville, IN-KY Metro Area",161317,4338,20590,28929,31830,27493,9809,18546,2760,3565,7170,3952,2335,2010
"Fairbanks, AK Metro Area",46154,2663,7950,9468,7792,6582,3075,4584,712,740,1572,334,682,2010
"Fajardo, PR Metro Area",19279,334,1410,2664,3972,2074,498,2261,138,914,1170,2774,1070,2010
"Fargo, ND-MN Metro Area",115828,5235,22140,28626,27067,15301,3552,5470,921,1430,3163,1152,1771,2010
"Farmington, MO Micro Area",22384,1340,4033,4980,3086,3133,693,1042,211,181,650,2035,1000,2010
"Farmington, NM Metro Area",47885,734,6670,6002,8759,5658,1686,7333,835,492,3853,3225,2638,2010
"Fayetteville, NC Metro Area",154949,7064,16634,21844,30447,28529,11421,18892,2508,2738,10057,2236,2579,2010
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",202719,7845,23002,32592,37259,31264,18191,26409,5111,4247,10806,3206,2787,2010
"Findlay, OH Micro Area",33527,2096,5387,8744,6282,2759,1668,2707,577,682,1579,800,246,2010
"Flagstaff, AZ Metro Area",54016,4248,10879,12601,7530,6863,1566,4503,293,510,2016,1939,1068,2010
"Flint, MI Metro Area",144150,4744,14358,21590,22608,24187,7687,16211,2594,3673,10707,11876,3915,2010
"Florence, SC Metro Area",76831,2322,7709,17002,14589,11449,2859,10775,1228,1106,2901,2821,2070,2010
"Florence-Muscle Shoals, AL Metro Area",58674,1931,7230,10294,10320,5539,2540,8526,1560,1958,4148,3388,1240,2010
"Fond du Lac, WI Metro Area",49386,3268,7960,10518,7428,5544,2806,4646,1476,1050,2332,1587,771,2010
"Forest City, NC Micro Area",23089,880,2343,3736,5411,3229,1132,1756,617,822,1822,1122,219,2010
"Fort Collins-Loveland, CO Metro Area",140540,4457,17558,27670,29569,19472,8116,11675,3295,4272,6372,5640,2444,2010
"Fort Payne, AL Micro Area",26537,840,3913,4178,4489,2795,2781,3248,389,412,1880,862,750,2010
"Fort Smith, AR-OK Metro Area",120589,7166,14929,21817,23068,17887,6823,13456,3807,3328,4415,2562,1331,2010
"Fort Wayne, IN Metro Area",175869,5540,16995,29516,35118,38234,13794,19522,3680,3050,5548,3030,1842,2010
"Frankfort, KY Micro Area",28416,1209,4393,5521,5406,2662,997,3701,1072,535,2104,408,408,2010
"Fresno, CA Metro Area",332666,10183,31857,46415,83833,52769,21792,43863,5315,7823,11713,11267,5836,2010
"Gadsden, AL Metro Area",36590,340,4110,6107,9198,5328,1486,3499,342,666,2624,2133,757,2010
"Gainesville, FL Metro Area",110886,3226,13723,21712,22298,18323,5498,13006,2116,2608,5095,1951,1330,2010
"Gainesville, GA Metro Area",70906,2669,5237,11245,12785,10902,4670,10546,1841,1693,4293,3482,1543,2010
"Galesburg, IL Micro Area",27981,2611,5800,4558,4773,2578,1354,1884,525,376,1999,1096,427,2010
"Gallup, NM Micro Area",20425,844,1741,3785,4768,2767,384,1886,235,274,1907,1275,559,2010
"Gettysburg, PA Micro Area",50402,2560,4839,6717,6557,7362,3162,4799,1530,2526,4230,3522,2598,2010
"Glens Falls, NY Metro Area",55827,2754,7417,9610,9069,5776,3114,6005,1510,1398,4337,3342,1495,2010
"Goldsboro, NC Metro Area",52008,2183,5366,8969,10755,7909,3961,4701,1474,921,3071,1970,728,2010
"Grand Forks, ND-MN Metro Area",50384,4110,13726,13207,8281,3376,1384,2530,643,1034,1315,428,350,2010
"Grand Island, NE Micro Area",36081,1478,8875,8791,7835,3059,1411,2344,189,275,893,386,545,2010
"Grand Junction, CO Metro Area",59875,3249,8633,11634,15428,8488,2976,3120,1141,755,1570,1560,1321,2010
"Grand Rapids-Wyoming, MI Metro Area",325009,11043,34862,53991,62680,57546,26153,33780,5967,8739,16245,9469,4534,2010
"Grants Pass, OR Micro Area",28307,2119,5633,6043,5167,2549,1261,1707,801,770,1461,465,331,2010
"Great Falls, MT Metro Area",37025,2956,7102,9574,6390,4000,713,2940,525,599,1158,496,572,2010
"Greeley, CO Metro Area",110839,3097,11425,15664,19088,14504,5313,14617,2916,4727,9404,7849,2235,2010
"Green Bay, WI Metro Area",141293,6251,20998,30447,28828,20573,7026,10692,3224,3223,4932,3257,1842,2010
"Greeneville, TN Micro Area",25758,368,2586,3310,5036,5073,1757,3597,1006,460,1302,454,809,2010
"Greensboro-High Point, NC Metro Area",308393,8389,27474,54211,58289,54998,23650,38754,9479,9528,12657,5875,5089,2010
"Greenville, NC Metro Area",84716,2486,9109,19520,18361,12238,4465,9751,1792,770,3453,2110,661,2010
"Greenville-Mauldin-Easley, SC Metro Area",266368,6236,26275,40045,49363,53334,17413,36314,6624,7210,14079,6280,3195,2010
"Greenwood, SC Micro Area",27997,446,2079,8133,5721,3923,2081,1382,247,704,740,1108,1433,2010
"Guayama, PR Metro Area",23233,1326,1904,4031,4765,2831,553,3070,245,494,1109,2227,678,2010
"Gulfport-Biloxi, MS Metro Area",106707,3383,11246,14026,19041,21548,6058,14765,1847,3027,4966,4641,2159,2010
"Hagerstown-Martinsburg, MD-WV Metro Area",114688,2933,12091,16759,15788,16607,7108,15454,3771,3845,6747,6546,7039,2010
"Hammond, LA Micro Area",47295,1575,5701,8776,8668,4186,2329,4927,557,938,4444,2740,2454,2010
"Hanford-Corcoran, CA Metro Area",53625,772,7230,10962,7948,11216,3028,4056,1557,1375,4417,672,392,2010
"Harrisburg-Carlisle, PA Metro Area",259024,10669,31999,38902,50186,43321,15078,26832,8675,7261,14962,6261,4878,2010
"Harrisonburg, VA Metro Area",53062,4754,7127,12009,7366,7710,3095,4814,579,1190,2180,998,1240,2010
"Hartford-West Hartford-East Hartford, CT Metro Area",563298,17217,62930,87545,95074,89542,41321,77751,15866,19285,32552,15728,8487,2010
"Hattiesburg, MS Metro Area",58335,2156,7782,8910,13425,7681,3146,6045,1161,1104,3980,947,1998,2010
"Helena, MT Micro Area",33665,1163,6291,8153,6711,4593,1411,2379,322,130,747,551,1214,2010
"Hickory-Lenoir-Morganton, NC Metro Area",148552,6070,14098,26922,27593,26982,8221,16459,3027,2633,8466,5596,2485,2010
"Hilo, HI Micro Area",68834,2507,8915,12054,11376,6647,2516,8537,1062,2958,5909,3466,2887,2010
"Hilton Head Island-Beaufort, SC Micro Area",76636,3390,10585,11863,13023,11075,4878,10258,2343,1909,4672,1783,857,2010
"Hinesville-Fort Stewart, GA Metro Area",29667,1191,3227,6558,5806,5074,739,1999,160,658,1911,1821,523,2010
"Holland-Grand Haven, MI Metro Area",117900,5125,16151,18447,21976,19465,10693,13180,3624,2766,3679,1216,1578,2010
"Homosassa Springs, FL Micro Area",40218,1299,2662,4193,9381,6218,2621,5531,1451,263,2529,1568,2502,2010
"Honolulu, HI Metro Area",459131,8014,36085,55075,62345,68602,23275,101701,11589,16191,40490,29363,6401,2010
"Hot Springs, AR Metro Area",35889,663,5543,5696,7675,4855,2278,4073,721,752,1102,1896,635,2010
"Houma-Bayou Cane-Thibodaux, LA Metro Area",88030,4250,14150,13720,14212,9364,4809,10975,1722,1774,5230,4013,3811,2010
"Houston-Sugar Land-Baytown, TX Metro Area",2625741,49059,177366,296905,384291,399364,158946,473144,78943,110253,268571,179436,49463,2010
"Huntington-Ashland, WV-KY-OH Metro Area",106257,4784,12387,17874,20280,15862,8521,9857,2127,3152,4478,4874,2061,2010
"Huntsville, AL Metro Area",183777,4389,16603,25028,38873,39388,15127,23749,3616,4418,7521,3336,1729,2010
"Huntsville, TX Micro Area",21296,785,1855,5033,3274,2284,1144,3406,617,286,1481,434,697,2010
"Hutchinson, KS Micro Area",28406,1714,5427,8003,4118,2605,448,2059,575,274,1740,1007,436,2010
"Idaho Falls, ID Metro Area",55504,2984,8467,11047,12344,6189,1932,5242,560,925,1713,2622,1479,2010
"Indiana, PA Micro Area",35863,1450,5822,4542,5881,4210,2843,4446,1011,752,1823,1500,1583,2010
"Indianapolis-Carmel, IN Metro Area",770934,23926,68346,98205,112079,130674,65897,124148,25324,33463,54354,24666,9852,2010
"Iowa City, IA Metro Area",77997,3139,12214,15636,16821,11826,4528,7424,1329,817,2288,1468,507,2010
"Ithaca, NY Metro Area",44003,1323,7067,9407,8271,6782,2745,4323,347,446,940,1556,796,2010
"Jackson, MI Metro Area",59568,2274,6690,9957,11005,8774,3359,5758,1591,1299,4649,3443,769,2010
"Jackson, MS Metro Area",226894,4369,17887,30733,42145,43939,19998,35370,5138,5170,11908,7556,2681,2010
"Jackson, TN Metro Area",44541,1015,6249,9511,9650,6150,2436,4152,1067,744,1706,1066,795,2010
"Jacksonville, FL Metro Area",578104,13636,46943,64727,92790,102090,48597,94813,21165,20209,45762,20248,7124,2010
"Jacksonville, NC Metro Area",82330,4084,9342,13199,10990,15243,3775,9907,1854,2253,7255,2609,1819,2010
"Jamestown-Dunkirk-Fredonia, NY Micro Area",54085,4367,10400,13133,9786,5464,2109,3243,705,680,1696,1688,814,2010
"Janesville, WI Metro Area",71696,4439,9411,13692,9455,7530,4323,6878,1828,3136,6411,2752,1841,2010
"Jefferson City, MO Metro Area",69301,2821,9615,14458,14287,8676,3849,6396,1916,2519,2722,1313,729,2010
"Johnson City, TN Metro Area",79952,2445,8753,15746,15960,12254,5898,9277,2546,878,3176,1209,1810,2010
"Johnstown, PA Metro Area",59330,2488,8035,9735,9525,9132,3707,5586,1388,2281,4320,1741,1392,2010
"Jonesboro, AR Metro Area",48521,3367,7617,10225,9207,6585,3316,3061,877,810,1350,1215,891,2010
"Joplin, MO Metro Area",76597,3210,12656,16106,15050,10718,4235,7357,1212,1297,2057,1780,919,2010
"Kahului-Wailuku, HI Micro Area",66506,2923,12540,12075,9971,10364,2506,6682,1309,1752,3918,1499,967,2010
"Kalamazoo-Portage, MI Metro Area",139519,4177,17393,26015,24950,26358,9566,11266,4230,2841,6709,4073,1941,2010
"Kalispell, MT Micro Area",36687,2102,7106,8032,6145,5088,2672,2802,402,368,448,510,1012,2010
"Kankakee-Bradley, IL Metro Area",46232,3180,7764,9106,6249,4729,2118,4367,707,896,2647,3114,1355,2010
"Kansas City, MO-KS Metro Area",935310,28413,99221,137666,155957,166141,74101,127803,28741,30310,53827,22555,10575,2010
