Metro,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour,No Commute (%),Yes Commute (more than 5 minutes) (%),Short Commutes - Less than half-hour (%),Medium Commutes - Half-hour to one hour (%),Long Commutes - More than one hour (%)
Houston,3198759,2019,42584,3156175,1529826,1262305,364044,1.33127,98.66873,48.47089,39.99477,11.53434
Houston,3017233,2016,48884,2968349,1489472,1140229,338648,1.62016,98.37984,50.17847,38.4129,11.40863
Los Angeles,5388495,2023,75464,5313031,2736248,1927706,649077,1.40047,98.59953,51.5007,36.2826,12.2167
Los Angeles,5974755,2016,67278,5907477,3000700,2113383,793394,1.12604,98.87396,50.79495,35.77471,13.43034
Los Angeles,5818616,2014,75169,5743447,3034279,2029042,680126,1.29187,98.70813,52.83028,35.32795,11.84177
Los Angeles,5899773,2015,72742,5827031,3019371,2071981,735679,1.23296,98.76704,51.81663,35.55809,12.62528
Los Angeles,5250177,2022,79040,5171137,2757331,1835102,578704,1.50547,98.49453,53.32156,35.4874,11.19104
Los Angeles,5663516,2013,80239,5583277,2997315,1925561,660401,1.41677,98.58323,53.6838,34.48801,11.8282
Los Angeles,5392512,2010,80026,5312486,2949092,1800246,563148,1.48402,98.51598,55.51247,33.88707,10.60046
Los Angeles,5428907,2011,80029,5348878,2911754,1838798,598326,1.47413,98.52587,54.43672,34.37727,11.18601
Los Angeles,6077813,2018,67321,6010492,2952518,2216032,841942,1.10765,98.89235,49.12273,36.86939,14.00787
Los Angeles,5551323,2012,72107,5479216,2965655,1886271,627290,1.29892,98.70108,54.12554,34.42593,11.44854
Los Angeles,4773103,2021,73685,4699418,2553947,1663534,481937,1.54375,98.45625,54.34603,35.39872,10.25525
Los Angeles,6066040,2017,73254,5992786,2997588,2168855,826343,1.20761,98.79239,50.01994,36.1911,13.78896
Los Angeles,6114413,2019,73272,6041141,2983884,2173826,883431,1.19835,98.80165,49.39272,35.9837,14.62358
Miami,2740841,2017,33041,2707800,1367008,1050395,290397,1.20551,98.79449,50.48408,38.79145,10.72446
Miami,2578324,2022,42451,2535873,1328099,954172,253602,1.64646,98.35354,52.37246,37.62696,10.00058
Miami,2643227,2023,33146,2610081,1369269,965283,275529,1.254,98.746,52.46079,36.98288,10.55634
Miami,2395786,2011,36366,2359420,1321090,854570,183760,1.51792,98.48208,55.99215,36.21949,7.78835
Miami,2703405,2016,28967,2674438,1378388,1006350,289700,1.0715,98.9285,51.53935,37.62847,10.83218
Miami,2440654,2021,38007,2402647,1298358,896851,207438,1.55725,98.44275,54.03865,37.32762,8.63373
Miami,2655983,2015,32456,2623527,1353696,1003474,266357,1.222,98.778,51.59833,38.24904,10.15263
Miami,2843985,2019,36822,2807163,1395766,1095844,315553,1.29473,98.70527,49.72159,39.03742,11.24099
Miami,2327054,2010,39508,2287546,1293162,815318,179066,1.69777,98.30223,56.53054,35.6416,7.82786
Miami,2456010,2012,33366,2422644,1308046,914820,199778,1.35854,98.64146,53.9925,37.76122,8.24628
Miami,2509362,2013,40746,2468616,1352541,914441,201634,1.62376,98.37624,54.78944,37.04266,8.1679
Miami,2614254,2014,35578,2578676,1406216,938055,234405,1.36092,98.63908,54.53248,36.37739,9.09013
Miami,2814512,2018,34811,2779701,1350974,1111957,316770,1.23684,98.76316,48.60141,40.00276,11.39583
Minneapolis,1430832,2021,41864,1388968,948217,382346,58405,2.92585,97.07415,68.26774,27.52734,4.20492
Minneapolis,1790878,2016,37547,1753331,1098559,555641,99131,2.09657,97.90343,62.65554,31.69059,5.65387
Minneapolis,1836758,2018,31649,1805109,1119976,583247,101886,1.72309,98.27691,62.04479,32.3109,5.64431
Minneapolis,1826361,2017,33577,1792784,1110934,576920,104930,1.83846,98.16154,61.96697,32.18012,5.85291
Minneapolis,1559291,2022,39245,1520046,1015398,432184,72464,2.51685,97.48315,66.80048,28.4323,4.76722
Minneapolis,1836359,2019,33447,1802912,1099558,592799,110555,1.82138,98.17862,60.98789,32.88009,6.13202
Minneapolis,1618919,2023,41613,1577306,1059334,447618,70354,2.57042,97.42958,67.16097,28.37864,4.46039
Minneapolis,1723294,2013,39524,1683770,1056528,532494,94748,2.29351,97.70649,62.74776,31.6251,5.62713
Minneapolis,1585973,2010,35777,1550196,983213,485689,81294,2.25584,97.74416,63.42508,31.33081,5.24411
Minneapolis,1618675,2011,36194,1582481,1001258,497120,84103,2.23603,97.76397,63.27141,31.41396,5.31463
Minneapolis,1657563,2012,37625,1619938,1034974,494562,90402,2.2699,97.7301,63.88973,30.52969,5.58058
Minneapolis,1757506,2014,39482,1718024,1063801,551277,102946,2.24648,97.75352,61.92003,32.08785,5.99212
