Metro Area,Total,Year,No Commute,Yes Commute (more than 5 minutes),Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
San Francisco,2161255,2015,22503,2138752,1002797,769044,366911
San Francisco,1718516,2022,24302,1694214,874834,598758,220622
San Francisco,1923369,2010,30917,1892452,1015847,668587,208018
San Francisco,2100937,2014,28271,2072666,1009309,742268,321089
San Francisco,1493862,2021,30357,1463505,798842,500591,164072
San Francisco,1920727,2011,31543,1889184,994444,677742,216998
San Francisco,1991876,2012,30251,1961625,999906,695926,265793
San Francisco,2048701,2013,27780,2020921,1007110,731291,282520
San Francisco,2264018,2019,33849,2230169,983054,806871,440244
San Francisco,2210949,2017,27058,2183891,977477,809741,396673
San Francisco,2180631,2016,26611,2154020,978147,801467,374406
San Francisco,2254095,2018,26477,2227618,996955,811838,418825
Seattle,1416094,2021,33233,1382861,761019,486082,135760
Seattle,1773998,2015,29427,1744571,902581,633057,208933
Seattle,1824275,2016,29746,1794529,912343,659549,222637
Seattle,1921071,2018,27171,1893900,927021,713813,253066
Seattle,1586303,2022,33886,1552417,850550,549148,152719
Seattle,1709231,2023,32620,1676611,916747,577754,182110
Seattle,1683444,2013,35074,1648370,901346,584986,162038
Seattle,1608829,2011,32583,1576246,887872,551381,136993
Seattle,1664598,2012,33043,1631555,895233,582534,153788
Seattle,1736873,2014,32335,1704538,887247,626647,190644
Seattle,1963614,2019,28034,1935580,936439,754121,245020
Seattle,1571812,2010,37721,1534091,881375,526886,125830
Seattle,1872114,2017,30031,1842083,912067,699796,230220
"St. Louis,",1165009,2022,32185,1132824,716487,357216,59121
"St. Louis,",1307667,2017,27800,1279867,776867,429083,73917
"St. Louis,",1310504,2015,27476,1283028,791187,415947,75894
"St. Louis,",1274322,2014,30245,1244077,770455,402028,71594
"St. Louis,",1325342,2018,30345,1294997,779954,435660,79383
"St. Louis,",1256594,2010,35223,1221371,768326,384295,68750
"St. Louis,",1260056,2011,36561,1223495,773406,381861,68228
"St. Louis,",1263271,2012,31420,1231851,765114,392035,74702
"St. Louis,",1228194,2023,34639,1193555,761317,368018,64220
"St. Louis,",1323479,2019,26350,1297129,789801,432657,74671
"St. Louis,",1109252,2021,26611,1082641,704395,326857,51389
"St. Louis,",1275535,2013,30876,1244659,770758,406691,67210
"St. Louis,",1304258,2016,28316,1275942,780980,412904,82058
Tampa,1266517,2016,23810,1242707,726918,408880,106909
Tampa,1241779,2022,26520,1215259,685204,414204,115851
Tampa,1131800,2010,25248,1106552,686817,346204,73531
Tampa,1127587,2011,26867,1100720,667963,362722,70035
Tampa,1151281,2012,21288,1129993,695473,359009,75511
Tampa,1200123,2013,27952,1172171,709244,377214,85713
Tampa,1216314,2014,24279,1192035,701870,396268,93897
Tampa,1295172,2023,29239,1265933,684519,448262,133152
Tampa,1299297,2017,26481,1272816,719370,438397,115049
Tampa,1246197,2015,25024,1221173,725692,390340,105141
Tampa,1334616,2018,26034,1308582,735526,456128,116928
Tampa,1360550,2019,24555,1335995,748570,459058,128367
Tampa,1191597,2021,28556,1163041,676397,399657,86987
Washington,3065253,2016,35660,3029593,1282296,1200274,547023
Washington,3059053,2015,39620,3019433,1287832,1202970,528631
Washington,2545435,2022,43903,2501532,1156285,986771,358476
Washington,2993036,2014,39064,2953972,1252935,1183978,517059
Washington,3144623,2018,36290,3108333,1298938,1259804,549591
Washington,2962993,2013,39331,2923662,1263569,1169835,490258
Washington,2915564,2012,34777,2880787,1240086,1155609,485092
Washington,3160911,2019,34966,3125945,1278269,1269761,577915
Washington,2831822,2011,39499,2792323,1185049,1119084,488190
Washington,2788202,2010,45593,2742609,1183513,1090344,468752
Washington,2217836,2021,40707,2177129,1057591,855363,264175
Washington,3123186,2017,35985,3087201,1288175,1252830,546196
Washington,2652851,2023,38661,2614190,1196349,1045634,372207
